"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Assam","Sonitpur","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Assam","Sonitpur","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Assam","South Salmara Mancachar","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Assam","South Salmara Mancachar","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Assam","South Salmara Mancachar","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Assam","Tinsukia","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Assam","Tinsukia","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Assam","Tinsukia","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Assam","Udalguri","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Assam","Udalguri","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Assam","Udalguri","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Assam","West Karbi Anglong","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Assam","West Karbi Anglong","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Assam","West Karbi Anglong","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Bihar","Araria","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Bihar","Araria","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Bihar","Araria","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Bihar","Arwal","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Bihar","Arwal","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Bihar","Arwal","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Bihar","Banka","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Bihar","Banka","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Bihar","Banka","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Bihar","Begusarai","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Bihar","Begusarai","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Bihar","Begusarai","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Bihar","Bhagalpur","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Bihar","Bhagalpur","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Bihar","Bhagalpur","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Bihar","Bhojpur","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Bihar","Bhojpur","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Bihar","Bhojpur","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Bihar","Buxar","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Bihar","Buxar","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Bihar","Buxar","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Bihar","Darbhanga","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Bihar","Darbhanga","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Bihar","Darbhanga","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Bihar","Gaya","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Bihar","Gaya","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Bihar","Gaya","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Bihar","Gopalganj","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Bihar","Gopalganj","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Bihar","Gopalganj","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Bihar","Jamui","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Bihar","Jamui","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Bihar","Jamui","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Bihar","Jehanabad","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Bihar","Jehanabad","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Bihar","Jehanabad","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Bihar","Kaimur (Bhabua)","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Bihar","Kaimur (Bhabua)","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Bihar","Kaimur (Bhabua)","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Bihar","Katihar","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Bihar","Katihar","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Bihar","Katihar","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Bihar","Khagaria","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Bihar","Khagaria","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Bihar","Khagaria","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Bihar","Kishanganj","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Bihar","Kishanganj","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Bihar","Kishanganj","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Bihar","Lakhisarai","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Bihar","Lakhisarai","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Bihar","Lakhisarai","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Bihar","Madhepura","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Bihar","Madhepura","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Bihar","Madhepura","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Bihar","Madhubani","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Bihar","Madhubani","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Bihar","Madhubani","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Bihar","Munger","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Bihar","Munger","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Bihar","Munger","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Bihar","Muzaffarpur","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Bihar","Muzaffarpur","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Bihar","Muzaffarpur","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Bihar","Nalanda","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Bihar","Nalanda","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Bihar","Nalanda","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Bihar","Nawada","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Bihar","Nawada","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Bihar","Nawada","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Bihar","Pashchim Champaran","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Bihar","Pashchim Champaran","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Bihar","Pashchim Champaran","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Bihar","Patna","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Bihar","Patna","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Bihar","Patna","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Bihar","Purbi Champaran","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Bihar","Purbi Champaran","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Bihar","Purbi Champaran","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Bihar","Purnia","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Bihar","Purnia","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Bihar","Purnia","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Bihar","Rohtas","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Bihar","Rohtas","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Bihar","Rohtas","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Bihar","Saharsa","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Bihar","Saharsa","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Bihar","Saharsa","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Bihar","Samastipur","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Bihar","Samastipur","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Bihar","Samastipur","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Bihar","Saran","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Bihar","Saran","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Bihar","Saran","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Bihar","Sheikhpura","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Bihar","Sheikhpura","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Bihar","Sheikhpura","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Bihar","Sheohar","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Bihar","Sheohar","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Bihar","Sheohar","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Bihar","Sitamarhi","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Bihar","Sitamarhi","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Bihar","Sitamarhi","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Bihar","Siwan","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Bihar","Siwan","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Bihar","Siwan","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Bihar","Supaul","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Bihar","Supaul","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Bihar","Supaul","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Bihar","Vaishali","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Bihar","Vaishali","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Bihar","Vaishali","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Chandigarh","Chandigarh","2024-01-01","2024","01","NA","IMD GRID MODEL"
